"user_id","rating","Score","Genres","Type","Episodes","Studios","Ranked","Popularity"
12351,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
16578,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
18175,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
68606,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
88359,6,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
113322,9,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
117588,9,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
119528,9,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
120568,8,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
136438,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
215132,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
222048,9,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
277738,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
322225,9,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
330353,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
340662,9,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
344835,10,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",0,26,0,28,39
126365,8,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,1,1,159,518
157021,9,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,1,1,159,518
181885,9,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,1,1,159,518
251154,8,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,1,1,159,518
273329,7,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,1,1,159,518
325941,7,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,1,1,159,518
329928,9,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,1,1,159,518
293038,8,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",0,26,2,266,201
42745,6,6.98,"Adventure, Fantasy, Shounen, Supernatural",0,52,3,3710,4369
39414,8,7.95,"Action, Sports, Comedy, Shounen",0,145,4,604,1003
15530,7,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",0,24,5,468,687
172017,7,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",0,24,5,468,687
197239,8,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",0,24,5,468,687
296209,7,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",0,24,5,468,687
304181,7,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",0,24,5,468,687
317145,10,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",0,24,5,468,687
196058,8,7.59,"Slice of Life, Comedy, Sports, Shounen",0,52,6,1317,3612
158549,7,8.15,"Action, Cars, Sports, Drama, Seinen",0,24,7,360,1233
266769,10,8.15,"Action, Cars, Sports, Drama, Seinen",0,24,7,360,1233
290626,8,8.15,"Action, Cars, Sports, Drama, Seinen",0,24,7,360,1233
13400,8,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",0,74,2,30,169
78450,10,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",0,74,2,30,169
109367,10,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",0,74,2,30,169
166683,9,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",0,74,2,30,169
174180,7,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",0,74,2,30,169
282156,8,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",0,74,2,30,169
325647,8,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",0,74,2,30,169
23491,9,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
25862,8,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
45518,7,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
62993,7,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
65689,7,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
93601,9,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
128440,4,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
136742,7,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
176469,7,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
176967,6,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
180037,8,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
185466,9,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
201672,9,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
206222,8,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
209234,8,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
211679,10,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
222974,7,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
248534,9,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
259268,6,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
270746,10,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
279571,9,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
305066,9,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
316120,8,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
335504,10,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
341875,10,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",0,220,8,660,8
167878,8,7.9,"Action, Comedy, Sports, School, Shounen",0,178,9,675,1039
179205,8,7.9,"Action, Comedy, Sports, School, Shounen",0,178,9,675,1039
37092,9,7.94,"Comedy, Romance, School, Shounen",0,26,10,625,514
124124,10,7.94,"Comedy, Romance, School, Shounen",0,26,10,625,514
139763,7,7.94,"Comedy, Romance, School, Shounen",0,26,10,625,514
212246,8,7.94,"Comedy, Romance, School, Shounen",0,26,10,625,514
263526,10,7.94,"Comedy, Romance, School, Shounen",0,26,10,625,514
337882,7,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",0,24,11,1844,1284
137924,6,7.76,"Action, Sci-Fi, Psychological, Drama",0,22,2,896,823
150566,10,7.76,"Action, Sci-Fi, Psychological, Drama",0,22,2,896,823
268082,6,7.76,"Action, Sci-Fi, Psychological, Drama",0,22,2,896,823
85106,4,7.32,"Action, Supernatural, Vampire",0,24,11,2240,936
214545,8,7.32,"Action, Supernatural, Vampire",0,24,11,2240,936
245227,8,7.32,"Action, Supernatural, Vampire",0,24,11,2240,936
266116,2,7.32,"Action, Supernatural, Vampire",0,24,11,2240,936
270624,5,7.32,"Action, Supernatural, Vampire",0,24,11,2240,936
224500,9,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",0,26,12,1565,3985
70002,7,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
98215,10,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
106329,1,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
146091,10,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
175093,10,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
176633,6,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
190790,9,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
195686,7,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
222397,2,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
229342,8,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
255915,8,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
270869,8,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
272836,10,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
318008,7,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
320403,6,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
338010,9,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
340739,10,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",0,26,13,208,54
97874,8,7.45,"Drama, Mecha, Psychological, Sci-Fi",1,1,14,1742,833
113988,6,7.45,"Drama, Mecha, Psychological, Sci-Fi",1,1,14,1742,833
244774,7,7.45,"Drama, Mecha, Psychological, Sci-Fi",1,1,14,1742,833
300148,8,7.45,"Drama, Mecha, Psychological, Sci-Fi",1,1,14,1742,833
339840,6,7.45,"Drama, Mecha, Psychological, Sci-Fi",1,1,14,1742,833
31232,9,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",1,1,14,102,195
