"user_id","anime_id","rating"
30,8074,8
67,22663,7
74,5081,9
83,31904,5
134,558,7
156,2883,2
196,4081,9
197,13659,6
198,34933,6
210,16742,8
215,30296,8
284,33299,6
356,384,7
362,226,7
469,38249,8
549,16866,5
566,36038,9
593,34618,8
601,12255,7
608,13759,9
644,8086,8
681,226,8
694,17080,9
694,390,7
724,5332,7
746,29067,4
760,11739,7
778,7592,8
781,31501,5
784,6547,7
849,617,7
890,13455,5
890,724,6
897,33071,7
912,47616,5
936,38483,8
982,6489,8
995,34577,9
1021,3269,8
1096,22535,7
1134,9117,8
1244,615,10
1248,32566,7
1275,32902,10
1297,28883,9
1334,16239,5
1364,34480,8
1420,813,8
1469,12355,7
1480,442,8
1483,8487,10
1489,4654,8
1529,1614,8
1564,6347,8
1629,222,6
1630,341,6
1665,11179,7
1698,9062,7
1792,32281,5
1850,1369,8
1872,9938,7
1878,24703,9
1984,4437,9
2037,37446,6
2098,36793,9
2300,934,8
2316,38668,10
2469,269,8
2494,32729,10
2520,2494,7
2644,31764,8
2647,34428,7
2677,35067,7
2726,11757,9
2892,13137,4
2910,1033,8
2910,3784,9
2924,36525,5
2955,32542,8
2979,11266,8
3004,134,8
3092,10793,7
3120,33071,8
3204,269,8
3288,39534,8
3303,20919,6
3305,19367,7
3321,27775,8
3333,1723,6
3475,35760,8
3541,11761,2
3646,1699,7
3689,2386,10
3725,15117,8
3780,7088,7
3785,31051,10
3933,30307,5
3953,14575,9
4059,30344,7
4073,17157,5
4139,3712,4
4166,33502,8
4297,24277,9
4381,22043,6
4388,4898,8
4389,13161,5
4396,443,8
4430,20545,8
4463,801,8
4495,23289,9
4605,1689,6
4658,7791,2
4693,11285,2
4701,356,8
4703,7465,6
4724,38337,7
4773,19279,5
4827,2490,4
4838,19163,10
4845,7559,8
4853,4382,5
4888,30503,8
4890,135,6
4903,8311,8
4919,30485,9
4944,34439,7
4969,3784,10
5008,37525,9
5032,8074,8
5045,4181,9
5054,95,7
5061,31771,10
5072,4872,7
5082,7066,7
5082,125,7
5143,28825,7
5152,28497,8
5203,18115,9
5292,24641,10
5322,37823,4
5342,37982,3
5417,317,10
5472,6045,8
5473,12959,7
5485,2001,9
5511,24175,6
5534,37924,7
5550,8675,8
5553,28677,7
5627,35760,9
5644,22663,7
5688,18679,7
5702,8074,6
5920,2025,10
5949,13367,6
5949,20899,9
5978,9253,10
6068,2001,6
6124,400,7
6130,10495,10
6149,33929,7
6170,12549,7
6264,11617,8
6273,1722,9
6361,28069,8
6364,3352,7
6386,23199,7
6438,32438,5
6454,1559,8
6510,256,9
6514,6974,9
6548,21327,7
6591,36480,7
6606,1861,9
6610,48,7
6624,20507,8
6641,523,9
6663,7870,5
6758,24687,10
6810,257,6
6849,80,8
6865,11617,8
6883,256,7
6950,29927,10
6951,33023,8
6951,101,8
6973,37982,5
6986,35120,9
7048,31704,8
7049,21809,7
7049,9314,7
7055,32827,7
7098,8795,7
7179,31156,3
7234,36914,8
7241,23079,6
7275,578,8
7305,6702,9
7374,17641,6
7399,2372,10
7406,41120,6
7470,457,9
7599,462,9
7606,534,9
7638,4744,8
7663,2904,6
7702,732,9
7708,30015,8
7750,15451,7
7762,1412,8
7787,30127,7
7788,32093,8
7797,3166,4
7817,1535,10
7859,37965,9
7895,11597,6
7925,5080,4
7942,29095,8
7948,9471,7
7951,31389,8
8012,10110,6
8044,552,5
8074,7774,8
8096,32867,8
8158,37450,9
8197,35760,10
8211,3287,2
8217,322,8
8220,38524,9
8287,16498,9
8304,1862,7
8343,31637,7
8438,100,7
8491,11319,9
8509,16201,1
8545,718,6
8560,35678,6
8592,8311,7
8594,6512,8
8721,16762,7
8751,18465,7
8754,37349,7
8769,21821,9
8822,40221,7
8831,1887,8
8881,10162,10
8886,27991,8
8921,11013,9
8984,15085,6
9047,14353,2
9102,39539,6
9118,11757,7
9166,16498,8
9226,763,7
9359,2581,7
9368,437,9
9375,17265,9
9422,21881,8
9481,641,6
9528,35062,10
9530,15811,8
9536,16201,9
9554,12477,6
9568,72,10
9596,20899,6
9667,30279,8
9682,853,7
9758,232,8
9761,298,7
9817,5614,6
9823,30276,7
9831,37447,6
9895,101,5
9911,27899,10
9925,20853,7
9926,6467,8
9941,430,10
9941,1604,6
9946,19315,1
9970,34501,7
10055,14741,8
10121,36862,9
10153,877,9
10214,9911,8
10249,357,5
10252,12477,10
10255,2300,6
10255,42211,1
10359,2593,8
10367,21677,4
10405,6880,5
10461,14513,8
10472,32829,9
10488,39940,10
10527,16592,7
10574,1565,6
10574,33094,8
10598,31043,5
10640,10271,10
10646,32574,6
10679,22297,8
10711,15437,8
